metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1788949247.6598,elite,3782.5768638499,1776078501.7313,AS24492 WiCAM Corporation Ltd.,IIT-WICAM-AS-AP,Phnom Penh,Asia,AS,Cambodia,KH,,False,WiCAM Corporation Ltd.,11.5583,104.9121,False,U Solutions,True,Phnom Penh,success,Asia/Phnom_Penh,,1788780692,1788949414.9069,1080,socks5,202.79.26.242:1080,True,1130.9142112732,76296,96391,44.181669726152,202.79.26.242
True,1788949414.8945,elite,4901.9493422436,1788115149.613,AS209783 Avaye Segal Net Co. PJS,segalnet,Tehran,Asia,AS,Iran,IR,,False,Avaye Segal Net Co. PJS,35.7219,51.3347,False,Pardazesh Argham Yasna Co,True,Tehran,success,Asia/Tehran,,1788718666,1788949414.8945,2080,socks4,194.31.108.109:2080,True,716.24827384949,58414,6780,89.600269963494,194.31.108.109
True,1788904609.8665,elite,2409.1636342654,1710543963.6749,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Frankfurt am Main,Europe,EU,Germany,DE,,True,Alibaba.com LLC,50.1169,8.6837,False,ALICLOUD-GM,True,Hesse,success,Europe/Berlin,60313,1788917155,1788949414.7953,3128,http,47.91.65.23:3128,True,18.010139465332,893372,280381,76.112435921357,47.91.65.23
True,1788949414.7631,elite,531.5155261918,1788842970.3687,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Hong Kong,Asia,AS,Hong Kong,HK,,True,Aceville Pte.ltd,22.3193,114.169,False,,False,Kowloon,success,Asia/Hong_Kong,999077,1788841896,1788949414.7631,8888,http,101.32.65.42:8888,False,522.91202545166,1316,255,83.768300445576,101.32.65.42
True,1788949414.6793,elite,3961.2466532217,1776086910.3216,AS7303 Telecom Argentina S.A.,Telecom Argentina S.A.,San Salvador de Jujuy,South America,SA,Argentina,AR,,False,Telecom Argentina S.A.,-24.1815,-65.2938,False,Telecom Argentina S.A,True,Jujuy,success,America/Argentina/Jujuy,4600,1788787005,1788949414.6793,1085,socks4,190.228.33.42:1085,True,1223.9162921906,121377,334306,26.636280045558,190.228.33.42
True,1788949365.3721,elite,3648.9807346629,1783230112.5784,AS10834 Telefonica de Argentina,Telefonica de Argentina,Anelo,South America,SA,Argentina,AR,,False,Telefonica de Argentina,-38.3543,-68.7875,False,Telefonica de Argentina,True,Neuquen,success,America/Argentina/Salta,8305,1788671199,1788949414.6694,1080,socks4,200.70.56.84:1080,True,1131.7150592804,126100,143901,46.703530727664,200.70.56.84
True,1788945514.5818,elite,969.14938346906,1782744933.5652,AS51167 Contabo GmbH,CONTABO,Lauterbourg,Europe,EU,France,FR,,True,Contabo GmbH,48.9742,8.1851,False,Contabo GmbH,True,Grand Est,success,Europe/Paris,67630,1788449749,1788949414.5806,1088,socks5,144.91.121.61:1088,True,568.03727149963,186242,4773,97.501243357851,144.91.121.61
True,1788949392.1653,elite,2789.3926219524,1776085593.3474,AS3216 PJSC Vimpelcom,SOVAM-AS,St Petersburg,Europe,EU,Russia,RU,,False,EDN Sovintel,59.9327,30.2981,False,,True,St.-Petersburg,success,Europe/Moscow,190805,1788704310,1788949414.5405,1080,socks5,195.190.121.154:1080,True,1410.3472232819,27550,45170,37.88503850385,195.190.121.154
True,1788949414.5364,elite,3904.8836205961,1787959487.1586,AS3462 Data Communication Business Group,HINET,East,Asia,AS,Taiwan,TW,,False,"Chunghwa Telecom Co., Ltd.",23.498,120.4646,False,Chunghwa Telecom Co. Ltd.,True,Chiayi,success,Asia/Taipei,,1788564130,1788949414.5364,1080,socks5,122.117.18.15:1080,True,1364.5961284637,13116,12589,51.025092394476,122.117.18.15
True,1788949369.758,elite,864.16601758869,1696967518.628,AS46562 Performive LLC,PERFORMIVE,Atlanta,North America,,United States,US,,True,Performive LLC,33.7488,-84.3877,False,Performive LLC,True,Georgia,success,America/New_York,30302,1788482029,1788949414.4746,16137,socks4,192.252.215.5:16137,True,755.88202476501,438758,1045969,29.55142595238,192.252.215.5
True,1788949411.2565,elite,1988.8708620781,1783253735.638,AS15958 CETINdoo-NET,CETIN_doo_AS,Belgrade,Europe,EU,Serbia,RS,,False,CETIN Ltd. Belgrade,44.8046,20.4637,False,CETIN Ltd. Belgrade,True,Belgrade,success,Europe/Belgrade,,1788695247,1788949414.4143,4145,socks4,109.245.110.145:4145,True,141.2181854248,99663,146440,40.496458799771,109.245.110.145
True,1788949414.3682,elite,1127.1978559173,1776078498.0969,AS46562 Performive LLC,PERFORMIVE,Atlanta,North America,,United States,US,,True,Performive LLC,33.7488,-84.3877,False,Performive LLC,True,Georgia,success,America/New_York,30302,1788436125,1788949414.3682,4145,socks5,199.58.184.97:4145,True,889.06455039978,83655,74906,52.758875133229,199.58.184.97
True,1788949229.1158,transparent,11829.412779296,1787592976.0397,AS16276 OVH SAS,OVH,Paris,Europe,EU,France,FR,,True,OVH SAS,48.8575,2.35138,False,Keshavaez Pedram,True,Île-de-France,success,Europe/Paris,75000,1788800127,1788949414.3348,3128,http,188.165.126.238:3128,True,54.376602172852,3392,7519,31.087892952067,188.165.126.238
True,1788949329.0652,elite,2192.2868749827,1783215063.4814,AS41985 Stargroup LLC,STARGROUP-UA-AS,Kyiv,Europe,EU,Ukraine,UA,,False,Stargroup LLC,50.458,30.5303,False,Stargroup LLC,True,Kyiv City,success,Europe/Kyiv,01001,1788655685,1788949414.1954,3129,socks4,185.244.158.4:3129,True,204.23126220703,162898,129335,55.742506835299,185.244.158.4
True,1788455901.1983,elite,1754.3199595059,1776078868.475,AS6181 Cincinnati Bell Telephone Company LLC,FUSE-NET,Alexandria,North America,,United States,US,,False,Fuse Internet Access,38.9595,-84.388,False,Fuse Internet Access - MH2+,True,Kentucky,success,America/New_York,41001,1788779917,1788949414.0308,58208,socks5,208.102.51.6:58208,True,1280.5662155151,298789,1054,99.648482705949,208.102.51.6
True,1788949397.3288,elite,5108.2702403565,1784810692.4954,"AS210976 Timeweb, LLP",TWC-EU,Frankfurt am Main,Europe,EU,Germany,DE,,False,"Timeweb, LLP",50.1169,8.6837,False,Quasar LLC,True,Hesse,success,Europe/Berlin,60313,1788437350,1788949414.0211,1080,socks4,89.191.226.51:1080,True,884.59300994873,47383,117682,28.705661406113,89.191.226.51
True,1788949363.1281,elite,2709.6818854527,1782769879.8219,AS13188 CONTENT DELIVERY NETWORK LTD,TRIOLAN,Kyiv,Europe,EU,Ukraine,UA,,False,Triolan,50.458,30.5303,False,,True,Kyiv City,success,Europe/Kyiv,01001,1788815326,1788949413.921,10801,socks5,178.150.77.204:10801,True,1253.3318996429,60874,75707,44.569888930378,178.150.77.204
True,1788947926.209,elite,717.12926487278,1785035808.491,AS203273 NetCrafters OU,NetCraftersOU,Helsinki,Europe,EU,Finland,FI,,False,NetCrafters OU,60.1699,24.9384,False,NetCrafters OU,True,Uusimaa,success,Europe/Helsinki,00121,1788663673,1788949413.8937,1080,socks5,83.147.216.208:1080,True,1553.138256073,200923,1660,99.18058277348,83.147.216.208
True,1788949364.2245,elite,3262.9835009947,1776089471.73,AS52468 UFINET PANAMA S.A.,UFINET PANAMA S.A.,Babahoyo,South America,SA,Ecuador,EC,,False,Ufinet Panama S.A.,-1.7984,-79.5359,False,UFINET,True,Los Ríos,success,America/Guayaquil,,1788786821,1788949413.864,8080,socks4,160.20.165.242:8080,True,1867.4476146698,274191,299979,47.754323632374,160.20.165.242
True,1788949329.1147,elite,3361.839043641,1776086353.4771,AS41161 Artem Zubkov,REALWEB-AS,Simferopol,Europe,EU,Ukraine,UA,,False,Artem Zubkov,44.9607,34.1051,False,Artem Zubkov,True,Crimea,success,Europe/Simferopol,10421,1788448150,1788949413.8565,1080,socks5,195.114.7.6:1080,True,496.09279632568,25998,49096,34.620608836924,195.114.7.6
True,1788948609.5564,elite,4296.5991693964,1788941231.3765,AS7497 Computer Network Information Center of Chinese Academy of Sciences (CNIC-CAS),CSTNET-AS-AP,Babaoshan,Asia,AS,China,CN,,False,Chinese Science & Technology Network,39.9007,116.231,False,,False,Beijing,success,Asia/Shanghai,,1788938200,1788949413.8284,7890,socks4,210.76.201.49:7890,True,3181.5278530121,679,57,92.255434782609,210.76.201.49
True,1788949319.9264,elite,2708.1984477826,1779648432.7869,AS45899 VNPT Corp,VNPT-AS-VN,Quận Ba,Asia,AS,Vietnam,VN,,False,VNPT Corp,10.7693,106.687,False,TTT Data Encryption and Technology Co. LTD,True,Ho Chi Minh City (HCMC),success,Asia/Ho_Chi_Minh,,1788717797,1788949413.7715,9988,socks5,160.22.17.4:9988,True,1734.2717647552,187634,41476,81.896905416612,160.22.17.4
True,1788949412.0984,elite,2568.1458809528,1697037700.9485,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Pensacola,North America,,United States,US,,False,Cox Communications Inc.,30.4077,-87.219,False,Cox Communications,True,Florida,success,America/Chicago,32516,1788361847,1788949413.6191,4145,socks4,184.181.217.194:4145,True,798.29668998718,846528,860707,49.5847378949,184.181.217.194
True,1788926373.8468,elite,1753.0777476795,1776081445.3312,AS6181 Cincinnati Bell Telephone Company LLC,FUSE-NET,Cincinnati,North America,,United States,US,,False,Fuse Internet Access,39.1497,-84.426,False,Maximum Communications,True,Ohio,success,America/New_York,45209,1788780777,1788949413.6157,36181,socks5,69.61.200.104:36181,True,1157.6402187347,301143,317,99.894845087242,69.61.200.104
True,1788949092.7588,elite,2558.8392644722,1787517388.0987,AS24940 Hetzner Online GmbH,HETZNER-AS,Falkenstein,Europe,EU,Germany,DE,,True,Hetzner Online GmbH,50.4777,12.3649,False,Hetzner,True,Saxony,success,Europe/Berlin,08223,1788726999,1788949413.3291,10811,socks5,49.13.22.249:10811,True,859.09295082092,46750,5512,89.45313994872,49.13.22.249
True,1788949366.3011,elite,3337.3891806266,1787473006.3799,AS262241 COOPERATIVA DE ELECTRIFICACION RURAL DE ALFARO RUIZ R.L.,COOPERATIVA DE ELECTRIFICACION RURAL DE ALFARO RUIZ R.L.,Zarcero,North America,,Costa Rica,CR,,False,Cooperativa De Electrificacion Rural De Alfaro Ruiz R.L.,10.1863,-84.382,False,Cooperativa De Electrificacion Rural De Alfaro Ruiz R.L,True,Alajuela Province,success,America/Costa_Rica,21101,1788680617,1788949413.2968,50000,socks4,190.113.249.14:50000,True,866.59717559814,31300,41454,43.021689529098,190.113.249.14
True,1788949413.1438,elite,3107.1266763396,1783685957.4282,AS395839 HOSTKEY,HOSTKEY-USA,New York,North America,,United States,US,,True,HOSTKEY,40.7126,-74.0066,False,HOSTKEY,True,New York,success,America/New_York,10118,1788368586,1788949413.1438,1080,socks5,162.120.16.210:1080,True,516.74818992615,21393,12258,63.573147900508,162.120.16.210
True,1788949413.142,elite,1126.2196067429,1776078832.8797,AS46562 Performive LLC,PERFORMIVE,Atlanta,North America,,United States,US,,True,Performive LLC,33.7488,-84.3877,False,Performive LLC,True,Georgia,success,America/New_York,30302,1788435458,1788949413.142,4145,socks5,199.58.185.9:4145,True,896.15631103516,83344,74863,52.680349162806,199.58.185.9
True,1788949413.1292,elite,593.62020274069,1786284290.8736,AS198068 CLOUD.DOG OU,PAGM-AS,Jõhvi,Europe,EU,Estonia,EE,,True,PAGM network,59.3577,27.4222,False,Hosting Services,True,Ida-Virumaa,success,Europe/Tallinn,,1788700723,1788949413.1292,1080,socks5,5.45.119.70:1080,True,218.22166442871,51704,25221,67.213519662008,5.45.119.70
True,1788949412.9708,elite,3045.0937161075,1784014782.2134,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,GCS-AS,Frankfurt am Main,Europe,EU,Germany,DE,,False,Global Connectivity Solutions LLP,50.1169,8.6837,False,Global Connectivity Solutions LLP,True,Hesse,success,Europe/Berlin,60313,1788852085,1788949412.9708,1082,socks5,147.45.66.116:1082,True,1298.9821434021,65892,53381,55.244690751469,147.45.66.116
True,1788949412.9641,elite,2905.3247479896,1777370237.2942,AS15774 Limited Liability Company TTK-Svyaz,TTK-RTL,Rybinsk,Europe,EU,Russia,RU,,False,TTK-Sever/BRAS1 in Yaroslavl,58.0449,38.8359,False,,True,Yaroslavl Oblast,success,Europe/Moscow,152900,1788775962,1788949412.9641,1080,socks5,188.168.51.56:1080,True,258.03518295288,31112,78128,28.480410106188,188.168.51.56
True,1788949360.8324,elite,3590.2958735413,1786347957.4158,AS38235 ANGKOR DATA COMMUNICATION,MEKONGNET-ADC-AS-AP,Phnom Penh,Asia,AS,Cambodia,KH,,False,MekongNet,11.5583,104.9121,False,,True,Phnom Penh,success,Asia/Phnom_Penh,,1788763822,1788949412.929,1080,socks4,116.212.156.72:1080,True,2009.0341567993,57765,66326,46.550515347608,116.212.156.72
True,1788946652.3331,elite,1721.7128850688,1710544372.4973,AS6181 Cincinnati Bell Telephone Company LLC,FUSE-NET,Cincinnati,North America,,United States,US,,False,Cincinnati Bell Telephone Company LLC,39.2607,-84.4111,False,Altafiber,True,Ohio,success,America/New_York,45241,1788785717,1788949412.9218,41679,socks4,66.42.224.229:41679,True,866.58382415771,1135084,661549,63.178400931075,66.42.224.229
True,1788949375.9701,elite,2629.193548934,1696968113.9701,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Pensacola,North America,,United States,US,,False,Cox Communications Inc.,30.4077,-87.219,False,Cox Communications,True,Florida,success,America/Chicago,32516,1788740002,1788949412.8636,4145,socks4,98.188.47.150:4145,True,1795.6094741821,602014,896798,40.166078200602,98.188.47.150
True,1788949412.8276,elite,1501.5014515714,1787334822.7243,AS20081 NET2ATLANTA.COM LLC,NET2ATLANTA,Atlanta,North America,,United States,US,,False,NET2ATLANTA.COM LLC,33.7838,-84.4455,False,NET2ATLANTA.COM LLC,True,Georgia,success,America/New_York,30318,1788541637,1788949412.8276,4145,socks4,199.66.182.232:4145,True,760.07175445557,136010,5713,95.968897073869,199.66.182.232
True,1788943509.5222,transparent,1697.5662172118,1787937028.9058,AS270111 Comunicación por Fibra SA de CV,Comunicacion por Fibra SA de CV,Mérida,North America,,Mexico,MX,,False,Comunicación por Fibra SA de CV,20.9867,-89.6452,False,Comunicación por Fibra SA de CV,True,Yucatán,success,America/Merida,97000,1788540522,1788949412.7703,999,http,189.51.168.164:999,True,431.03456497192,16783,715,95.91381872214,189.51.168.164
True,1788949367.7249,elite,11678.822139047,1779448418.1548,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Minkler,North America,,United States,US,,True,Alibaba Cloud LLC,36.7783,-119.418,False,Alibaba Cloud - US,True,California,success,America/Los_Angeles,,1788520256,1788949412.7696,1080,socks5,47.251.127.154:1080,True,2149.8520374298,193565,45186,81.07400597275,47.251.127.154
True,1788885460.5709,elite,1178.2052743234,1785069160.8456,AS20081 NET2ATLANTA.COM LLC,NET2ATLANTA,Atlanta,North America,,United States,US,,False,NET2ATLANTA.COM LLC,33.7838,-84.4455,False,NET2ATLANTA.COM LLC,True,Georgia,success,America/New_York,30318,1788694618,1788949412.6461,4145,socks5,199.66.182.243:4145,True,1352.1175384521,202366,173,99.914584351656,199.66.182.243
True,1788949378.875,elite,1420.7766383718,1786267595.4079,AS27988 Servicios y Telecomunicaciones S.A.,Servicios y Telecomunicaciones S.A.,Resistencia,South America,SA,Argentina,AR,,False,Servicios y Telecomunicaciones S.A,-27.4519,-58.9856,False,Onsys,True,Chaco,success,America/Argentina/Cordoba,3500,1788684186,1788949412.616,1080,socks4,198.12.37.25:1080,True,1306.4112663269,37277,66639,35.872242965472,198.12.37.25
True,1788949322.4183,elite,3535.3379400462,1783220824.8118,AS4750 CS LOXINFO PUBLIC COMPANY LIMITED,CSLOXINFO-AS-AP,Huai Khwang,Asia,AS,Thailand,TH,Khwaeng Huai Khwang,False,sinokor1,13.7697,100.574,False,"Sinokor Merchant Marine (Thailand) Co., Ltd.",True,Bangkok,success,Asia/Bangkok,10320,1788661143,1788949412.5168,1080,socks4,203.172.120.179:1080,True,4114.278793335,146500,136947,51.68514748789,203.172.120.179
True,1788949386.1422,elite,2209.5065305329,1788023529.8199,AS12389 PJSC Rostelecom,ROSTELECOM-AS,Chelyabinsk,Europe,EU,Russia,RU,,False,"JSC ""Uralsvyazinform"" Chelyabinsk",55.1643,61.4012,False,Chelyabinsk Network Informational Center,True,Chelyabinsk Oblast,success,Asia/Yekaterinburg,454082,1788626930,1788949412.3902,10808,socks4,62.148.236.156:10808,True,1999.2432594299,25227,25318,49.909981204867,62.148.236.156
True,1788937499.9567,anonymous,2699.102556105,1757616696.5698,AS60294 Deutsche Glasfaser Wholesale GmbH,DE-DGW,Krefeld,Europe,EU,Germany,DE,,False,Deutsche Glasfaser Wholesale GmbH,51.3575,6.5456,False,inexio Informationstechnologie und Telekommunikation Gmbh,True,North Rhine-Westphalia,success,Europe/Berlin,47803,1788776151,1788949412.2524,3128,http,80.74.54.148:3128,False,48.629760742188,260345,37414,87.434804657458,80.74.54.148
True,1788949400.4677,elite,2713.9761717134,1776081840.5527,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Henderson,North America,,United States,US,,False,Cox Communications Inc.,35.9854,-115.1193,False,Cox Communications Inc.,True,Nevada,success,America/Los_Angeles,89052,1788780225,1788949412.2224,4145,socks5,98.181.137.80:4145,True,3986.5691661835,121506,75060,61.814352431244,98.181.137.80
True,1788949377.6692,elite,2690.457384399,1776081978.4374,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Pensacola,North America,,United States,US,,False,Cox Communications Inc.,30.4077,-87.219,False,Cox Communications Inc.,True,Florida,success,America/Chicago,32516,1788780023,1788949412.1467,4145,socks5,72.223.188.67:4145,True,3980.4668426514,133747,71516,65.158844993983,72.223.188.67
True,1788949359.5716,elite,3931.3080088298,1788946992.7771,AS219326 SULAVI LTD,SULAVIL,Eygelshoven,Europe,EU,The Netherlands,NL,,True,Secure Internet LLC,50.8933,6.05805,False,Internet Security - AU,True,Limburg,success,Europe/Amsterdam,6471,1788946019,1788949412.1268,5352,socks5,45.74.31.42:5352,True,4245.2738285065,75,21,78.125,45.74.31.42
True,1788949412.0536,elite,3027.1078680409,1784016158.8074,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,GCS-AS,Phoenix,North America,,United States,US,,False,Global Connectivity Solutions LLP,33.4532,-112.0748,False,Global Connectivity Solutions LLP,True,Arizona,success,America/Phoenix,85001,1788852914,1788949412.0536,1082,socks4,178.130.47.21:1082,True,1711.3785743713,156676,102163,60.530291030332,178.130.47.21
